Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1443571200,2015-09-30T00:00:00,0.412330365534857,0.123898896213257,0.255022089732667,3.61448798427856,1.08609772420541,2.23552363859656
1443657600,2015-10-01T00:00:00,0.416509064017714,0.125154530464114,0.257606571761,3.65111845517928,1.09710461404843,2.25817920805693
1443744000,2015-10-02T00:00:00,0.407773634960571,0.122529669166971,0.252203798744333,3.57454368406437,1.07409507991767,2.21081849979283
1443830400,2015-10-03T00:00:00,0.408397519172571,0.122717136721371,0.252589664712,3.58001265306676,1.07573842049954,2.21420100086539
1443916800,2015-10-04T00:00:00,0.411421513381714,0.123625800200914,0.254459974024667,3.60652098630411,1.08370376456121,2.23059613230023
1444003200,2015-10-05T00:00:00,0.416768567297143,0.125232507185143,0.25776707187,3.65339326092675,1.09778815798496,2.25958615201242
1444089600,2015-10-06T00:00:00,0.405748669309714,0.121921198314514,0.250951378318667,3.55679283516896,1.06876122442503,2.19983978234143
1444176000,2015-10-07T00:00:00,0.401223835193143,0.120561555660343,0.248152814961333,3.51712813930309,1.05684259691857,2.17530757595105
1444262400,2015-10-08T00:00:00,0.398395157564571,0.119711581791771,0.246403306944667,3.49233195121103,1.04939172598667,2.15997138867695
1444348800,2015-10-09T00:00:00,0.393633397085143,0.118280746430743,0.243458207069,3.45059035884836,1.03684902321189,2.13415464316685
1444435200,2015-10-10T00:00:00,0.399585564869143,0.120069280771543,0.247139561617667,3.50276706164291,1.05252731524334,2.16642539714047
1444521600,2015-10-11T00:00:00,0.396807947825143,0.119234649818743,0.245421634047333,3.4784184706352,1.0452109403111,2.15136604405892
1444608000,2015-10-12T00:00:00,0.392443121041714,0.117923086892914,0.242722033579667,3.44015639905167,1.03371377970329,2.12770134635936
1444694400,2015-10-13T00:00:00,0.390459108867429,0.117326921926629,0.241494942458,3.42276454833188,1.02848779760883,2.11694466558683
1444780800,2015-10-14T00:00:00,0.397998355129714,0.119592348798514,0.246157888720333,3.48885358106708,1.04834652956778,2.15782005252244
1444867200,2015-10-15T00:00:00,0.408356303173714,0.122704751951314,0.252564173040667,3.57965135362078,1.07562985560522,2.21397754087448
1444953600,2015-10-16T00:00:00,0.415565165139428,0.124870903453029,0.257022780014,3.64284423761223,1.09461833966925,2.25306168960272
1445040000,2015-10-17T00:00:00,0.406104387006857,0.122028085979657,0.251171386055333,3.55991105650211,1.06969820169767,2.20176837016105
1445126400,2015-10-18T00:00:00,0.405774396493714,0.121928928935314,0.250967290317333,3.5570183596639,1.06882899104696,2.19997926692174
